"","Wardcode","hhSocialRented","JobSeekers","Noqual","Carsperhousehold"
"317","00ASHC",11,2,16.3,1.3
"318","00ASHD",21.8,6,19.8,1.1
"319","00ASHE",27.3,5.5,23.7,1
"320","00ATFY",26.9,5.1,24,1.1
"321","00ATFZ",37.7,3.9,17.2,0.8
"322","00ATGA",16.4,2.3,9.3,0.9
"323","00ATGB",18.5,2.9,9.2,1
"324","00ATGC",29.1,6,20.2,1
"325","00ATGD",22.3,4.6,26.1,1.1
"326","00ATGE",27.2,4.5,20.5,1
"327","00ATGF",38.6,6.7,26.4,1
"328","00ATGG",21.3,3.8,23.4,1.1
"329","00ATGH",19.5,4.6,17.3,1.1
"330","00ATGJ",15.7,4.6,16.1,1.2
"331","00ATGK",33.7,7,21.8,1.1
"332","00ATGL",16.9,3.9,12.8,0.7
"333","00ATGM",20,6,15.7,0.9
"334","00ATGN",5.1,2.9,15.7,1.3
"335","00ATGP",18.9,4.6,16.3,0.9
"336","00ATGQ",34.1,4.9,19.9,0.9
"337","00ATGR",6.9,3.3,10.8,1.2
"338","00ATGS",27.4,4.1,16.4,0.9
"339","00ATGT",14.7,2.7,9.9,0.8
"340","00AUFX",38.5,5,16.3,0.5
"341","00AUFY",47.3,6.5,15.8,0.3
"342","00AUFZ",44.7,6.3,21,0.4
"343","00AUGA",47.2,6.8,19.2,0.4
"344","00AUGB",42.3,5.6,15.1,0.4
"345","00AUGC",43.4,9.6,20.6,0.3
"346","00AUGD",31.1,4.7,13.4,0.5
"347","00AUGE",33.5,6,12.6,0.4
"348","00AUGF",45.3,7.6,17.9,0.5
"349","00AUGG",46.5,6.2,18.8,0.4
"350","00AUGH",43.3,6.9,16.8,0.4
"351","00AUGJ",47,6.8,17.4,0.4
"352","00AUGK",38,6.9,16.5,0.5
"353","00AUGL",41.5,5.1,15.5,0.4
"354","00AUGM",40.4,5.9,17.3,0.4
"355","00AUGN",41.9,7.8,17.3,0.4
"356","00AWFY",9.4,2.8,6.3,0.6
"357","00AWFZ",12.3,1.4,6.6,0.6
"358","00AWGA",7,1.5,4.5,0.7
"359","00AWGB",45.2,6.4,13.1,0.4
"360","00AWGC",9.1,2.7,3.8,0.5
"361","00AWGD",43.4,4.8,15.4,0.5
"362","00AWGE",22.7,5.1,8.4,0.4
"363","00AWGF",67.8,12.1,22.5,0.4
"364","00AWGG",16.4,2.2,9.2,0.6
"365","00AWGH",11.9,3.1,7,0.7
"366","00AWGJ",38.5,5.4,14.2,0.6
"367","00AWGK",55.8,9.3,19.4,0.5
"368","00AWGL",12.7,2.7,6.2,0.5
"369","00AWGM",4,1.5,3.8,0.6
"370","00AWGN",10.4,2.6,5.2,0.6
"371","00AWGP",13.6,1.8,9,0.8
"372","00AWGQ",58.7,9.4,21.5,0.5
"373","00AWGR",13.1,2,7.3,0.7
"374","00AXFX",4.9,2.1,15.8,1.4
"375","00AXFY",17.4,2.4,11.9,1
"376","00AXFZ",11.5,2.9,15.2,1
"377","00AXGA",12.5,1.9,9,0.9
"378","00AXGB",14.8,2.8,21.9,1.3
"379","00AXGC",11.7,2.1,19.1,1.4
"380","00AXGD",11.6,2.3,10.7,1.3
"381","00AXGE",6.9,1.8,11.7,1.2
"382","00AXGF",13.2,2.2,8.5,0.8
"383","00AXGG",31.2,4.9,17.7,0.8
"384","00AXGH",9.1,2.3,15.7,1.4
"385","00AXGJ",9.3,2.3,15.9,1.3
"386","00AXGK",6.7,2.9,6.7,0.9
"387","00AXGL",7.5,1.7,10.7,1
"388","00AXGM",10.7,2.7,18.4,1.2
"389","00AXGN",7.5,1.9,10.1,1.2
"390","00AYFZ",41.8,6.9,14.5,0.4
